surfaceName	patchColor	patchColorName	patchLocation	tableColor	tableColorName	glossiness	roughness	floorName	floorPattern	whichImage	lightPower	coneImageDir	imageRes
con1	2	yel	center	20	g	0.02	0	bb	2	left	7	coneImages	800'
con1	2	yel	center	20	g	0.02	0	bb	2	right	7	coneImages	800'
con2	2	yel	top	20	g	0.02	0	bb	2	left	7	coneImages	800'
con2	2	yel	top	20	g	0.02	0	bb	2	right	7	coneImages	800'
con3	3	red	center	20	g	0.02	0	bb	2	left	7	coneImages	800'
con3	3	red	center	20	g	0.02	0	bb	2	right	7	coneImages	800'
con4	3	red	top	20	g	0.02	0	bb	2	left	7	coneImages	800'
con4	3	red	top	20	g	0.02	0	bb	2	right	7	coneImages	800'
con5	1	blue	center	20	g	0.02	0	bb	2	left	7	coneImages	800'
con5	1	blue	center	20	g	0.02	0	bb	2	right	7	coneImages	800'
con6	1	blue	top	20	g	0.02	0	bb	2	left	7	coneImages	800'
con6	1	blue	top	20	g	0.02	0	bb	2	right	7	coneImages	800'
con7	2	yel	center	20	g	0	0	bb	2	left	7	coneImages	800'
con7	2	yel	center	20	g	0	0	bb	2	right	7	coneImages	800'
con8	2	yel	top	20	g	0	0	bb	2	left	7	coneImages	800'
con8	2	yel	top	20	g	0	0	bb	2	right	7	coneImages	800'
con9	3	red	center	20	g	0	0	bb	2	left	7	coneImages	800'
con9	3	red	center	20	g	0	0	bb	2	right	7	coneImages	800'
con10	3	red	top	20	g	0	0	bb	2	left	7	coneImages	800'
con10	3	red	top	20	g	0	0	bb	2	right	7	coneImages	800'
con11	1	blue	center	20	g	0	0	bb	2	left	7	coneImages	800'
con11	1	blue	center	20	g	0	0	bb	2	right	7	coneImages	800'
con12	1	blue	top	20	g	0	0	bb	2	left	7	coneImages	800'
con12	1	blue	top	20	g	0	0	bb	2	right	7	coneImages	800'
con13	2	yel	center	20	g	0.12	0.02	bb	2	left	7	coneImages	800'
con13	2	yel	center	20	g	0.12	0.02	bb	2	right	7	coneImages	800'
con14	2	yel	top	20	g	0.12	0.02	bb	2	left	7	coneImages	800'
con14	2	yel	top	20	g	0.12	0.02	bb	2	right	7	coneImages	800'
con15	3	red	center	20	g	0.12	0.02	bb	2	left	7	coneImages	800'
con15	3	red	center	20	g	0.12	0.02	bb	2	right	7	coneImages	800'
con16	3	red	top	20	g	0.12	0.02	bb	2	left	7	coneImages	800'
con16	3	red	top	20	g	0.12	0.02	bb	2	right	7	coneImages	800'
con17	1	blue	center	20	g	0.12	0.02	bb	2	left	7	coneImages	800'
con17	1	blue	center	20	g	0.12	0.02	bb	2	right	7	coneImages	800'
con18	1	blue	top	20	g	0.12	0.02	bb	2	left	7	coneImages	800'
con18	1	blue	top	20	g	0.12	0.02	bb	2	right	7	coneImages	800'
