objectName	objectType	glossiness	roughness	spectrumNumber	spectrumType
backwall	ward	0	0	24	macbethPeter
blackface	ward	0	0	24	macbethPeter
checkerblack	ward	0.05	0.05	24	macbethPeter
checkerwhite	ward	0.05	0.05	19	macbethPeter
roomleft	ward	0	0	20	macbethPeter
roomright	ward	0	0	20	macbethPeter
tableleft	ward	0	0	20	macbethPeter
testface	ward	0.02	0	1	macbethPeter
whiteface	ward	0.02	0	19	macbethPeter
